kana,kanji,rank
かへい,貨幣,6000
かべ,壁,2000
かぼちゃ,,6000
かま,釜,6000
かまう,構,6000
かまえる,構,6000
かみ,神,2000
かみくず,紙屑,6000
かみそり,,6000
かみなり,雷,2000
かみのけ,髪毛,6000
かむ,噛,2000
かめ,亀,6000
かもく,科目,6000
かもしれない,,6000
かもつ,貨物,6000
かゆい,,2000
かよう,通,2000
かようきょく,歌謡曲,6000
から,空,2000
からい,辛,2000
からかう,,6000
からす,,6000
からだ,体,2000
からだつき,体付,6000
からっぽ,空,6000
からて,唐手,6000
かり,借,6000
かりに,仮,6000
かりる,借,2000
かる,刈,6000
かるい,軽,2000
かれ,彼,2000
かれら,彼,6000
かれる,枯,2000
かろう,過労,6000
かわ,川,2000
かわいい,可愛,2000
かわいがる,可愛,6000
かわいそう,可哀相,2000
かわいらしい,可愛,6000
かわかす,乾,2000
かわく,乾・渇,2000
かわせ,為替,6000
かわら,瓦,6000
かわり,代,2000
かわる,代・変,2000
かわるがわる,代代,6000
かん,勘,6000
かんかく,感覚,6000
かんがい,灌漑,6000
かんがえ,考,2000
かんがえる,考,2000
かんきゃく,観客,6000
かんきょう,環境,6000
かんけい,関係,2000
かんげい,歓迎,2000
かんげき,感激,6000
かんこう,観光,6000
かんこく,韓国,6000
かんご,看護,6000
かんごふ,看護婦,6000
かんさい,関西,6000
かんさつ,観察,6000
かんさん,換算,6000
かんし,監視,6000
かんしゃ,感謝,2000
かんしゅう,観衆,6000
かんしょう,干渉,6000
かんしん,感心,2000
かんじ,感,2000
かんじゃ,患者,6000
かんじょう,勘定,2000
かんじる,感,2000
かんじん,肝心・肝腎,6000
かんする,関,6000
かんせい,完成,2000
かんせつ,間接,2000
かんぜい,関税,6000
かんぜん,完全,2000
かんそう,感想,2000
かんそく,観測,6000
かんぞう,肝臓,6000
かんたん,簡単,2000
かんだんけい,寒暖計,6000
かんちょう,官庁,6000
かんづめ,罐詰,2000
かんとう,関東,6000
かんとく,監督,6000
かんどう,感動,6000
かんどうし,感動詞,6000
かんねん,観念,6000
かんばん,看板,2000
かんぱい,乾杯,6000
かんびょう,看病,6000
かんぶ,幹部,6000
かんむり,冠,6000
