level,expression,reading
N1,両立,りょうりつ
N1,並びに,ならびに
N1,並列,へいれつ
N1,中傷,ちゅうしょう
N1,中和,ちゅうわ
N1,中断,ちゅうだん
N1,中枢,ちゅうすう
N1,中毒,ちゅうどく
N1,中程,なかほど
N1,中立,ちゅうりつ
N1,中継,ちゅうけい
N1,中腹,ちゅうふく
N1,丸々,まるまる
N1,丸ごと,まるごと
N1,丸める,まるめる
N1,主,しゅ
N1,主,ぬし
N1,主人公,しゅじんこう
N1,主任,しゅにん
N1,主体,しゅたい
N1,主催,しゅさい
N1,主導,しゅどう
N1,主権,しゅけん
N1,主演,しゅえん
N1,主観,しゅかん
N1,主題,しゅだい
N1,主食,しゅしょく
N1,乃至,ないし
N1,久しい,ひさしい
N1,乏しい,とぼしい
N1,乗っ取る,のっとる
N1,乗り込む,のりこむ
N1,乙,おつ
N1,乱す,みだす
N1,乱れる,みだれる
N1,乳,ちち
N1,了承,りょうしょう
N1,了解,りょうかい
N1,予て,かねて
N1,予め,あらかじめ
N1,予感,よかん
N1,予言,よげん
N1,争い,あらそい
N1,事前,じぜん
N1,事柄,ことがら
N1,事業,じぎょう
N1,事項,じこう
N1,云々,うんぬん
N1,交える,まじえる
N1,交す,かわす
N1,交わる,まじわる
N1,交互,こうご
N1,交付,こうふ
N1,交渉,こうしょう
N1,人体,じんたい
N1,人影,ひとかげ
N1,人材,じんざい
N1,人柄,ひとがら
N1,人格,じんかく
N1,人民,じんみん
N1,人気,ひとけ
N1,人目,ひとめ
N1,人質,ひとじち
N1,今更,いまさら
N1,介入,かいにゅう
N1,介抱,かいほう
N1,介護,かいご
N1,仏像,ぶつぞう
N1,仕える,つかえる
N1,仕上,しあげ
N1,仕上がり,しあがり
N1,仕上げる,しあげる
N1,仕入れる,しいれる
N1,仕切る,しきる
N1,仕掛,しかけ
N1,仕掛ける,しかける
N1,仕立てる,したてる
N1,仕組,しくみ
N1,他動詞,たどうし
N1,他方,たほう
N1,付け加える,つけくわえる
N1,付録,ふろく
N1,代る代る,かわるがわる
N1,代弁,だいべん
N1,代用,だいよう
N1,仰ぐ,あおぐ
N1,仲人,なこうど
N1,任す,まかす
N1,任務,にんむ
N1,任命,にんめい
N1,企画,きかく
N1,休める,やすめる
N1,休学,きゅうがく
N1,休戦,きゅうせん
N1,会見,かいけん
N1,会談,かいだん
N1,伜,せがれ
N1,伝来,でんらい
N1,伝説,でんせつ
N1,伝達,でんたつ
N1,伴う,ともなう
N1,似通う,にかよう
N1,体付き,からだつき
N1,体力,たいりょく
N1,体格,たいかく
N1,体裁,ていさい
N1,体験,たいけん
N1,何だか,なんだか
N1,何気ない,なにげない
N1,余地,よち
N1,余所見,よそみ
N1,余暇,よか
N1,余程,よほど
N1,余興,よきょう
N1,作り,つくり
N1,作戦,さくせん
N1,作用,さよう
N1,使い道,つかいみち
N1,使命,しめい
N1,使用人,しようにん
N1,侍,さむらい
N1,依存,いぞん
N1,侮辱,ぶじょく
N1,侵す,おかす
N1,侵略,しんりゃく
N1,便宜,べんぎ
N1,促す,うながす
N1,促進,そくしん
N1,保つ,たもつ
N1,保守,ほしゅ
N1,保温,ほおん
N1,保管,ほかん
N1,保育,ほいく
N1,保険,ほけん
N1,保養,ほよう
N1,信任,しんにん
N1,信者,しんじゃ
N1,修士,しゅうし
N1,修学,しゅうがく
N1,修行,しゅぎょう
N1,俺,おれ
N1,個別,こべつ
N1,個性,こせい
N1,倍率,ばいりつ
N1,値,あたい
N1,値する,あたいする
N1,値引き,ねびき
N1,値打ち,ねうち
N1,倹約,けんやく
N1,偏見,へんけん
N1,停滞,ていたい
N1,健やか,すこやか
N1,健全,けんぜん
N1,健在,けんざい
N1,側面,そくめん
N1,偽造,ぎぞう
N1,傍ら,かたわら
N1,備え付ける,そなえつける
N1,備わる,そなわる
N1,催す,もよおす
N1,傷付く,きずつく
N1,傷付ける,きずつける
N1,傾ける,かたむける
N1,傾斜,けいしゃ
N1,優位,ゆうい
N1,優先,ゆうせん
N1,優勢,ゆうせい
N1,優美,ゆうび
N1,優越,ゆうえつ
N1,元年,がんねん
N1,元来,がんらい
N1,元素,げんそ
N1,元首,げんしゅ
N1,充実,じゅうじつ
N1,兆,きざし
N1,先,せん
N1,先だって,せんだって
N1,先代,せんだい
N1,先天的,せんてんてき
N1,先着,せんちゃく
N1,光沢,こうたく
N1,光熱費,こうねつひ
N1,免れる,まぬがれる
N1,免除,めんじょ
N1,入手,にゅうしゅ
N1,入浴,にゅうよく
N1,入賞,にゅうしょう
N1,全快,ぜんかい
N1,全滅,ぜんめつ
N1,全盛,ぜんせい
N1,公,おおやけ
N1,公募,こうぼ
N1,公団,こうだん
N1,公然,こうぜん
N1,公用,こうよう
N1,公立,こうりつ
N1,公認,こうにん
N1,共働き,ともばたらき
N1,共和,きょうわ
N1,共存,きょうぞん
N1,共学,きょうがく
N1,共感,きょうかん
N1,共稼ぎ,ともかせぎ
N1,共鳴,きょうめい
N1,兵器,へいき
N1,兵士,へいし
N1,具わる,そなわる
N1,兼業,けんぎょう
N1,兼用,けんよう
N1,内乱,ないらん
N1,内心,ないしん
N1,内緒,ないしょ
N1,内蔵,ないぞう
N1,内訳,うちわけ
N1,内部,ないぶ
N1,内閣,ないかく
N1,内陸,ないりく
N1,円満,えんまん
N1,円滑,えんかつ
N1,再会,さいかい
N1,再建,さいけん
N1,再現,さいげん
N1,再生,さいせい
N1,再発,さいはつ
N1,冒頭,ぼうとう
N1,写し,うつし
N1,冬眠,とうみん
N1,冴える,さえる
N1,冷やかす,ひやかす
N1,冷淡,れいたん
N1,冷蔵,れいぞう
N1,冷酷,れいこく
N1,凌ぐ,しのぐ
N1,凝らす,こらす
N1,凝る,こる
N1,几帳面,きちょうめん
N1,処分,しょぶん
N1,処置,しょち
N1,処罰,しょばつ
N1,凶作,きょうさく
N1,出くわす,でくわす
N1,出世,しゅっせ
N1,出動,しゅつどう
N1,出品,しゅっぴん
N1,出演,しゅつえん
N1,出現,しゅつげん
N1,出生,しゅっしょう
N1,出生,しゅっせい
N1,出産,しゅっさん
N1,出直し,でなおし
N1,出社,しゅっしゃ
N1,出血,しゅっけつ
N1,出費,しゅっぴ
N1,出題,しゅつだい
N1,刃,は
N1,分子,ぶんし
N1,分担,ぶんたん
N1,分散,ぶんさん
N1,分業,ぶんぎょう
N1,分母,ぶんぼ
N1,分裂,ぶんれつ
N1,分配,ぶんぱい
N1,分離,ぶんり
N1,切ない,せつない
N1,切れ目,きれめ
N1,切実,せつじつ
N1,切替,きりかえ
N1,切開,せっかい
N1,刑罰,けいばつ
N1,初版,しょはん
N1,初耳,はつみみ
N1,判定,はんてい
N1,判決,はんけつ
N1,利子,りし
N1,利息,りそく
N1,利潤,りじゅん
N1,利点,りてん
